"","INCOME","MODE_AGG","n"
"1",1,1,350
"2",1,2,9
"3",1,3,512
"4",1,4,8
"5",1,5,308
"6",1,6,6
"7",1,7,32
"8",2,1,560
"9",2,2,34
"10",2,3,2323
"11",2,4,27
"12",2,5,438
"13",2,6,57
"14",2,7,80
"15",3,1,400
"16",3,2,31
"17",3,3,2262
"18",3,4,17
"19",3,5,263
"20",3,6,25
"21",3,7,21
"22",4,1,620
"23",4,2,76
"24",4,3,4177
"25",4,4,24
"26",4,5,354
"27",4,6,122
"28",4,7,37
"29",5,1,859
"30",5,2,71
"31",5,3,8038
"32",5,4,38
"33",5,5,403
"34",5,6,238
"35",5,7,33
"36",6,1,803
"37",6,2,98
"38",6,3,8398
"39",6,4,31
"40",6,5,413
"41",6,6,250
"42",6,7,33
"43",7,1,1027
"44",7,2,116
"45",7,3,10216
"46",7,4,37
"47",7,5,446
"48",7,6,458
"49",7,7,26
"50",8,1,566
"51",8,2,35
"52",8,3,4929
"53",8,4,21
"54",8,5,236
"55",8,6,261
"56",8,7,20
"57",9,1,308
"58",9,2,27
"59",9,3,2754
"60",9,4,20
"61",9,5,141
"62",9,6,177
"63",9,7,3
"64",10,1,260
"65",10,2,17
"66",10,3,1828
"67",10,4,16
"68",10,5,93
"69",10,6,98
"70",10,7,13
"71",98,1,17
"72",98,2,1
"73",98,3,54
"74",98,5,1
"75",99,1,354
"76",99,2,27
"77",99,3,3891
"78",99,4,10
"79",99,5,199
"80",99,6,133
"81",99,7,24
